timestamp,target
1679599763.608098,"[[1, 137.97800737424396, 40.81994555984737, 293.06562370065296, 0.0008257504620062527]]"
1679599763.8832052,"[[1, 137.82798868729103, 40.0556602105621, 292.8463540712149, 0.0008862389282562777]]"
1679599764.1506636,"[[1, 137.99414318261935, 43.48355263075424, 292.7172483852929, 0.0008486966702726882]]"
1679599764.4204037,"[[1, 138.00636792058185, 42.03329886827558, 292.95550091444176, 0.000788878667888633]]"
1679599764.6921797,[]
1679599764.973467,"[[1, 138.24636840212017, 46.86585112906593, 292.7425952747377, 0.0008691845406791365]]"
1679599765.2406664,"[[1, -21.239843498545213, 60.1989540812548, 261.8950497792128, 0.0008140020609585246]]"
1679599765.5101233,"[[1, -20.205226939197164, 56.14890028041013, 262.656287031696, 0.0009805527812192384]]"
1679599765.780067,"[[1, -28.87613724175725, 59.89256610753409, 261.5494606483345, 0.0010873852044369112]]"
1679599766.0576887,"[[1, -32.84880117277398, 67.46590662578654, 259.0127125994835, 0.0009299013711644974]]"
1679599766.3252742,"[[1, -28.668100198164677, 62.51631190080666, 261.1208860162205, 0.0010621769419143084]]"
1679599766.5931308,"[[1, -29.696184573465494, 65.30858487836262, 260.765275102278, 0.0010049279130692026]]"
1679599766.8660092,"[[1, -23.052834541428098, 65.31475773525742, 261.07257166868203, 0.0008233521043376963]]"
1679599767.1327186,[]
1679599767.403855,"[[1, -35.60744086899128, 48.055493641419325, 263.4069871585086, 0.0007624318641511847]]"
1679599767.6744545,"[[1, -49.026896042226944, 38.867435769960785, 262.50483204253214, 0.0007652603606606505]]"
1679599767.9528828,"[[1, -67.92590466005956, 24.833137174122175, 260.5559812267746, 0.0007504373461506111]]"
1679599768.2209194,"[[1, -72.42881439264586, 20.196855265143483, 260.05141125611823, 0.0007378646606823588]]"
1679599768.4904933,[]
1679599768.757973,[]
1679599769.043364,[]
1679599769.3089535,[]
1679599769.590885,"[[1, -58.20804131221388, 35.72771026665434, 261.98263134883996, 0.0008850705192290159]]"
1679599769.862483,"[[1, -57.30623902325176, 58.307648843534444, 257.35963518558907, 0.001007976083675077]]"
1679599770.1333394,"[[1, -36.74685586633347, 51.69372157011468, 262.81652612307835, 0.0009132668425050045]]"
1679599770.4023368,"[[1, -2.348427580817335, -4.132170486289299, 24.691788963873712, 0.0010795696201824718], [2, 24.623494173827662, 65.08276459072691, 263.09341723582247, 0.0009295306336972988]]"
1679599770.6725392,"[[1, -31.176301681029667, 55.795000014864016, 262.5270412642847, 0.0013422453520016357], [2, 1.7153276990346022, -6.060538141269298, 23.84947822262361, 0.001070907915432581]]"
1679599770.9427626,"[[1, -37.55227465776348, 56.731653160535075, 261.3731342900197, 0.001511851154845722]]"
1679599771.2087414,"[[1, -39.12318613136393, 58.878619589589775, 260.69792679326474, 0.0015418229537095271]]"
1679599771.477834,"[[1, -37.79115041491959, 57.29124242319548, 261.28195769166405, 0.001689831584028295]]"
1679599771.747624,"[[1, -22.330804710151295, 52.602239941206804, 264.2905428279858, 0.002037532854119096]]"
1679599772.0220747,[]
1679599772.2890024,[]
1679599772.5564177,[]
1679599772.8228955,[]
1679599773.1013398,[]
1679599773.3687122,[]
1679599773.6410625,[]
1679599773.9298213,[]
1679599774.2053323,[]
1679599774.4722023,[]
1679599774.7407522,[]
1679599775.0122967,[]
1679599775.280801,"[[1, -27.649421269084133, 63.40057899459541, 260.4386813133818, 0.0011755390331364948]]"
1679599775.5497708,"[[1, -28.564801184036448, 53.67096635389307, 262.42312045610987, 0.001076482408269583]]"
1679599775.8194718,"[[1, -38.227616952127164, 65.93105539163857, 258.86239464172513, 0.0010313863581547797]]"
1679599776.0913093,"[[1, -19.96455170845974, 41.49397334016182, 265.80213906407164, 0.0009721296296428229]]"
1679599776.3582015,"[[1, -19.739020639017998, 42.184386317610986, 265.68967823780497, 0.0009593058133852783]]"
1679599776.6234503,[]
1679599776.8918884,[]
1679599777.1679602,"[[1, -21.841231466246352, 45.90264655961392, 265.0408361855612, 0.0009253530992279209]]"
